,Cidade,Prefeito,Partido,Porcentagem,Quantidade
147, Xique-xique,Reinaldinho,MDB,55.65%,14573
148, Xique-xique,Reinaldinho,MDB,55.65%,14573
149, Xique-xique,Reinaldinho,MDB,55.65%,14573
150, Xique-xique,Reinaldinho,MDB,55.65%,14573
151, Xique-xique,Reinaldinho,MDB,55.65%,14573
152, Xique-xique,Reinaldinho,MDB,55.65%,14573
153, Xique-xique,Reinaldinho,MDB,55.65%,14573
154, Xique-xique,Reinaldinho,MDB,55.65%,14573
155, Xique-xique,Reinaldinho,MDB,55.65%,14573
156, Xique-xique,Reinaldinho,MDB,55.65%,14573
157, Xique-xique,Reinaldinho,MDB,55.65%,14573
158, Xique-xique,Reinaldinho,MDB,55.65%,14573
159, Xique-xique,Reinaldinho,MDB,55.65%,14573
160, Xique-xique,Reinaldinho,MDB,55.65%,14573
161, Xique-xique,Reinaldinho,MDB,55.65%,14573
162, Xique-xique,Reinaldinho,MDB,55.65%,14573
163, Xique-xique,Reinaldinho,MDB,55.65%,14573
164, Xique-xique,Reinaldinho,MDB,55.65%,14573
165, Xique-xique,Reinaldinho,MDB,55.65%,14573
166, Xique-xique,Reinaldinho,MDB,55.65%,14573
167, Xique-xique,Reinaldinho,MDB,55.65%,14573
168, Xique-xique,Reinaldinho,MDB,55.65%,14573
169, Xique-xique,Reinaldinho,MDB,55.65%,14573
170, Xique-xique,Reinaldinho,MDB,55.65%,14573
171, Xique-xique,Reinaldinho,MDB,55.65%,14573
172, Xique-xique,Reinaldinho,MDB,55.65%,14573
173, Xique-xique,Reinaldinho,MDB,55.65%,14573
174, Xique-xique,Reinaldinho,MDB,55.65%,14573
175, Xique-xique,Reinaldinho,MDB,55.65%,14573
176, Xique-xique,Reinaldinho,MDB,55.65%,14573
177, Xique-xique,Reinaldinho,MDB,55.65%,14573
178, Xique-xique,Reinaldinho,MDB,55.65%,14573
179, Xique-xique,Reinaldinho,MDB,55.65%,14573
180, Xique-xique,Reinaldinho,MDB,55.65%,14573
181, Xique-xique,Reinaldinho,MDB,55.65%,14573
182, Xique-xique,Reinaldinho,MDB,55.65%,14573
183, Xique-xique,Reinaldinho,MDB,55.65%,14573
184, Xique-xique,Reinaldinho,MDB,55.65%,14573
185, Xique-xique,Reinaldinho,MDB,55.65%,14573
186, Xique-xique,Reinaldinho,MDB,55.65%,14573
187, Xique-xique,Reinaldinho,MDB,55.65%,14573
188, Xique-xique,Reinaldinho,MDB,55.65%,14573
189, Xique-xique,Reinaldinho,MDB,55.65%,14573
190, Xique-xique,Reinaldinho,MDB,55.65%,14573
191, Xique-xique,Reinaldinho,MDB,55.65%,14573
192, Xique-xique,Reinaldinho,MDB,55.65%,14573
193, Xique-xique,Reinaldinho,MDB,55.65%,14573
194, Xique-xique,Reinaldinho,MDB,55.65%,14573
195, Xique-xique,Reinaldinho,MDB,55.65%,14573
196, Xique-xique,Reinaldinho,MDB,55.65%,14573
197, Xique-xique,Reinaldinho,MDB,55.65%,14573
198, Xique-xique,Reinaldinho,MDB,55.65%,14573
199, Xique-xique,Reinaldinho,MDB,55.65%,14573
200, Xique-xique,Reinaldinho,MDB,55.65%,14573
201, Xique-xique,Reinaldinho,MDB,55.65%,14573
202, Xique-xique,Reinaldinho,MDB,55.65%,14573
203, Xique-xique,Reinaldinho,MDB,55.65%,14573
204, Xique-xique,Reinaldinho,MDB,55.65%,14573
205, Xique-xique,Reinaldinho,MDB,55.65%,14573
206, Xique-xique,Reinaldinho,MDB,55.65%,14573
207, Xique-xique,Reinaldinho,MDB,55.65%,14573
208, Xique-xique,Reinaldinho,MDB,55.65%,14573
209, Xique-xique,Reinaldinho,MDB,55.65%,14573
210, Xique-xique,Reinaldinho,MDB,55.65%,14573
211, Xique-xique,Reinaldinho,MDB,55.65%,14573
212, Xique-xique,Reinaldinho,MDB,55.65%,14573
213, Xique-xique,Reinaldinho,MDB,55.65%,14573
214, Xique-xique,Reinaldinho,MDB,55.65%,14573
215, Xique-xique,Reinaldinho,MDB,55.65%,14573
216, Xique-xique,Reinaldinho,MDB,55.65%,14573
217, Xique-xique,Reinaldinho,MDB,55.65%,14573
218, Xique-xique,Reinaldinho,MDB,55.65%,14573
219, Xique-xique,Reinaldinho,MDB,55.65%,14573
220, Xique-xique,Reinaldinho,MDB,55.65%,14573
221, Xique-xique,Reinaldinho,MDB,55.65%,14573
222, Xique-xique,Reinaldinho,MDB,55.65%,14573
223, Xique-xique,Reinaldinho,MDB,55.65%,14573
224, Xique-xique,Reinaldinho,MDB,55.65%,14573
225, Xique-xique,Reinaldinho,MDB,55.65%,14573
226, Xique-xique,Reinaldinho,MDB,55.65%,14573
227, Xique-xique,Reinaldinho,MDB,55.65%,14573
228, Xique-xique,Reinaldinho,MDB,55.65%,14573
229, Xique-xique,Reinaldinho,MDB,55.65%,14573
230, Xique-xique,Reinaldinho,MDB,55.65%,14573
231, Xique-xique,Reinaldinho,MDB,55.65%,14573
232, Xique-xique,Reinaldinho,MDB,55.65%,14573
233, Xique-xique,Reinaldinho,MDB,55.65%,14573
234, Xique-xique,Reinaldinho,MDB,55.65%,14573
235, Xique-xique,Reinaldinho,MDB,55.65%,14573
236, Xique-xique,Reinaldinho,MDB,55.65%,14573
237, Xique-xique,Reinaldinho,MDB,55.65%,14573
238, Xique-xique,Reinaldinho,MDB,55.65%,14573
239, Xique-xique,Reinaldinho,MDB,55.65%,14573
240, Xique-xique,Reinaldinho,MDB,55.65%,14573
241, Xique-xique,Reinaldinho,MDB,55.65%,14573
242, Xique-xique,Reinaldinho,MDB,55.65%,14573
243, Xique-xique,Reinaldinho,MDB,55.65%,14573
244, Xique-xique,Reinaldinho,MDB,55.65%,14573
245, Xique-xique,Reinaldinho,MDB,55.65%,14573
246, Xique-xique,Reinaldinho,MDB,55.65%,14573
247, Xique-xique,Reinaldinho,MDB,55.65%,14573
248, Xique-xique,Reinaldinho,MDB,55.65%,14573
249, Xique-xique,Reinaldinho,MDB,55.65%,14573
250, Xique-xique,Reinaldinho,MDB,55.65%,14573
251, Xique-xique,Reinaldinho,MDB,55.65%,14573
252, Xique-xique,Reinaldinho,MDB,55.65%,14573
253, Xique-xique,Reinaldinho,MDB,55.65%,14573
254, Xique-xique,Reinaldinho,MDB,55.65%,14573
255, Xique-xique,Reinaldinho,MDB,55.65%,14573
256, Xique-xique,Reinaldinho,MDB,55.65%,14573
257, Xique-xique,Reinaldinho,MDB,55.65%,14573
258, Xique-xique,Reinaldinho,MDB,55.65%,14573
259, Xique-xique,Reinaldinho,MDB,55.65%,14573
260, Xique-xique,Reinaldinho,MDB,55.65%,14573
261, Xique-xique,Reinaldinho,MDB,55.65%,14573
262, Xique-xique,Reinaldinho,MDB,55.65%,14573
263, Xique-xique,Reinaldinho,MDB,55.65%,14573
264, Xique-xique,Reinaldinho,MDB,55.65%,14573
265, Xique-xique,Reinaldinho,MDB,55.65%,14573
266, Xique-xique,Reinaldinho,MDB,55.65%,14573
267, Xique-xique,Reinaldinho,MDB,55.65%,14573
268, Xique-xique,Reinaldinho,MDB,55.65%,14573
269, Xique-xique,Reinaldinho,MDB,55.65%,14573
270, Xique-xique,Reinaldinho,MDB,55.65%,14573
271, Xique-xique,Reinaldinho,MDB,55.65%,14573
272, Xique-xique,Reinaldinho,MDB,55.65%,14573
273, Xique-xique,Reinaldinho,MDB,55.65%,14573
274, Xique-xique,Reinaldinho,MDB,55.65%,14573
275, Xique-xique,Reinaldinho,MDB,55.65%,14573
276, Xique-xique,Reinaldinho,MDB,55.65%,14573
277, Xique-xique,Reinaldinho,MDB,55.65%,14573
278, Xique-xique,Reinaldinho,MDB,55.65%,14573
279, Xique-xique,Reinaldinho,MDB,55.65%,14573
280, Xique-xique,Reinaldinho,MDB,55.65%,14573
281, Xique-xique,Reinaldinho,MDB,55.65%,14573
282, Xique-xique,Reinaldinho,MDB,55.65%,14573
283, Xique-xique,Reinaldinho,MDB,55.65%,14573
284, Xique-xique,Reinaldinho,MDB,55.65%,14573
285, Xique-xique,Reinaldinho,MDB,55.65%,14573
286, Xique-xique,Reinaldinho,MDB,55.65%,14573
287, Xique-xique,Reinaldinho,MDB,55.65%,14573
288, Xique-xique,Reinaldinho,MDB,55.65%,14573
289, Xique-xique,Reinaldinho,MDB,55.65%,14573
290, Xique-xique,Reinaldinho,MDB,55.65%,14573
291, Xique-xique,Reinaldinho,MDB,55.65%,14573
292, Xique-xique,Reinaldinho,MDB,55.65%,14573
293, Xique-xique,Reinaldinho,MDB,55.65%,14573
294, Xique-xique,Reinaldinho,MDB,55.65%,14573
295, Xique-xique,Reinaldinho,MDB,55.65%,14573
296, Xique-xique,Reinaldinho,MDB,55.65%,14573
297, Xique-xique,Reinaldinho,MDB,55.65%,14573
298, Xique-xique,Reinaldinho,MDB,55.65%,14573
299, Xique-xique,Reinaldinho,MDB,55.65%,14573
300, Xique-xique,Reinaldinho,MDB,55.65%,14573
301, Xique-xique,Reinaldinho,MDB,55.65%,14573
302, Xique-xique,Reinaldinho,MDB,55.65%,14573
303, Xique-xique,Reinaldinho,MDB,55.65%,14573
304, Xique-xique,Reinaldinho,MDB,55.65%,14573
305, Xique-xique,Reinaldinho,MDB,55.65%,14573
306, Xique-xique,Reinaldinho,MDB,55.65%,14573
307, Xique-xique,Reinaldinho,MDB,55.65%,14573
308, Xique-xique,Reinaldinho,MDB,55.65%,14573
309, Xique-xique,Reinaldinho,MDB,55.65%,14573
310, Xique-xique,Reinaldinho,MDB,55.65%,14573
311, Xique-xique,Reinaldinho,MDB,55.65%,14573
312, Xique-xique,Reinaldinho,MDB,55.65%,14573
313, Xique-xique,Reinaldinho,MDB,55.65%,14573
314, Xique-xique,Reinaldinho,MDB,55.65%,14573
315, Xique-xique,Reinaldinho,MDB,55.65%,14573
316, Xique-xique,Reinaldinho,MDB,55.65%,14573
317, Xique-xique,Reinaldinho,MDB,55.65%,14573
318, Xique-xique,Reinaldinho,MDB,55.65%,14573
319, Xique-xique,Reinaldinho,MDB,55.65%,14573
320, Xique-xique,Reinaldinho,MDB,55.65%,14573
321, Xique-xique,Reinaldinho,MDB,55.65%,14573
322, Xique-xique,Reinaldinho,MDB,55.65%,14573
323, Xique-xique,Reinaldinho,MDB,55.65%,14573
324, Xique-xique,Reinaldinho,MDB,55.65%,14573
325, Xique-xique,Reinaldinho,MDB,55.65%,14573
326, Xique-xique,Reinaldinho,MDB,55.65%,14573
327, Xique-xique,Reinaldinho,MDB,55.65%,14573
328, Xique-xique,Reinaldinho,MDB,55.65%,14573
329, Xique-xique,Reinaldinho,MDB,55.65%,14573
330, Xique-xique,Reinaldinho,MDB,55.65%,14573
331, Xique-xique,Reinaldinho,MDB,55.65%,14573
332, Xique-xique,Reinaldinho,MDB,55.65%,14573
333, Xique-xique,Reinaldinho,MDB,55.65%,14573
334, Xique-xique,Reinaldinho,MDB,55.65%,14573
335, Xique-xique,Reinaldinho,MDB,55.65%,14573
336, Xique-xique,Reinaldinho,MDB,55.65%,14573
337, Xique-xique,Reinaldinho,MDB,55.65%,14573
338, Xique-xique,Reinaldinho,MDB,55.65%,14573
339, Xique-xique,Reinaldinho,MDB,55.65%,14573
340, Xique-xique,Reinaldinho,MDB,55.65%,14573
341, Xique-xique,Reinaldinho,MDB,55.65%,14573
342, Xique-xique,Reinaldinho,MDB,55.65%,14573
343, Xique-xique,Reinaldinho,MDB,55.65%,14573
344, Xique-xique,Reinaldinho,MDB,55.65%,14573
345, Xique-xique,Reinaldinho,MDB,55.65%,14573
346, Xique-xique,Reinaldinho,MDB,55.65%,14573
347, Xique-xique,Reinaldinho,MDB,55.65%,14573
348, Xique-xique,Reinaldinho,MDB,55.65%,14573
349, Xique-xique,Reinaldinho,MDB,55.65%,14573
350, Xique-xique,Reinaldinho,MDB,55.65%,14573
351, Xique-xique,Reinaldinho,MDB,55.65%,14573
352, Xique-xique,Reinaldinho,MDB,55.65%,14573
353, Xique-xique,Reinaldinho,MDB,55.65%,14573
354, Xique-xique,Reinaldinho,MDB,55.65%,14573
355, Xique-xique,Reinaldinho,MDB,55.65%,14573
356, Xique-xique,Reinaldinho,MDB,55.65%,14573
357, Xique-xique,Reinaldinho,MDB,55.65%,14573
358, Xique-xique,Reinaldinho,MDB,55.65%,14573
359, Xique-xique,Reinaldinho,MDB,55.65%,14573
360, Xique-xique,Reinaldinho,MDB,55.65%,14573
361, Xique-xique,Reinaldinho,MDB,55.65%,14573
362, Xique-xique,Reinaldinho,MDB,55.65%,14573
363, Xique-xique,Reinaldinho,MDB,55.65%,14573
364, Xique-xique,Reinaldinho,MDB,55.65%,14573
365, Xique-xique,Reinaldinho,MDB,55.65%,14573
366, Xique-xique,Reinaldinho,MDB,55.65%,14573
367, Xique-xique,Reinaldinho,MDB,55.65%,14573
368, Xique-xique,Reinaldinho,MDB,55.65%,14573
369, Xique-xique,Reinaldinho,MDB,55.65%,14573
370, Xique-xique,Reinaldinho,MDB,55.65%,14573
371, Xique-xique,Reinaldinho,MDB,55.65%,14573
372, Xique-xique,Reinaldinho,MDB,55.65%,14573
373, Xique-xique,Reinaldinho,MDB,55.65%,14573
374, Xique-xique,Reinaldinho,MDB,55.65%,14573
375, Xique-xique,Reinaldinho,MDB,55.65%,14573
376, Xique-xique,Reinaldinho,MDB,55.65%,14573
377, Xique-xique,Reinaldinho,MDB,55.65%,14573
378, Xique-xique,Reinaldinho,MDB,55.65%,14573
